Epoch 1/5
Step 300: 0.34869006276130676
Step 600: 0.20936277508735657
Step 900: 0.06773634999990463
Step 1200: 0.16830286383628845
Step 1500: 0.1698245406150818
Step 1800: 0.10588036477565765
Step 2100: 0.08295686542987823
Step 2400: 0.05333660915493965
Step 2700: 0.10067521035671234
Step 3000: 0.058479584753513336
Step 3300: 0.1801033318042755
Step 3600: 0.03217916935682297
Step 3900: 0.040040273219347
Step 4200: 0.09069513529539108
Step 4500: 0.06341847777366638
Step 4800: 0.035233091562986374
Step 5100: 0.10172884911298752
Step 5400: 0.08221312612295151
Step 5700: 0.03295496851205826
Step 6000: 0.038903798907995224
Step 6300: 0.030525486916303635
Step 6600: 0.03441598266363144
Step 6900: 0.028770968317985535
Step 7200: 0.02584020048379898
Step 7500: 0.13125738501548767
Step 7800: 0.08357588201761246
Step 8100: 0.03471400588750839
Step 8400: 0.03203216940164566
Step 8700: 0.028951488435268402
Step 9000: 0.047330085188150406
Step 9300: 0.05393986403942108
Step 9600: 0.027185577899217606
Epoch 2/5
Step 300: 0.07233341038227081
Step 600: 0.06961007416248322
Step 900: 0.032852135598659515
Step 1200: 0.07874034345149994
Step 1500: 0.05471260845661163
Step 1800: 0.07349591702222824
Step 2100: 0.11285284161567688
Step 2400: 0.06253764033317566
Step 2700: 0.021147217601537704
Step 3000: 0.022603463381528854
Step 3300: 0.03562777861952782
Step 3600: 0.03553891181945801
Step 3900: 0.10985546559095383
Step 4200: 0.051739346235990524
Step 4500: 0.04773283749818802
Step 4800: 0.015542387962341309
Step 5100: 0.07339990884065628
Step 5400: 0.028985150158405304
Step 5700: 0.053312648087739944
Step 6000: 0.040576256811618805
Step 6300: 0.029022492468357086
Step 6600: 0.020994503051042557
Step 6900: 0.053812604397535324
Step 7200: 0.08154436945915222
Step 7500: 0.028643175959587097
Step 7800: 0.01639454811811447
Step 8100: 0.052238721400499344
Step 8400: 0.04126565158367157
Step 8700: 0.0418941006064415
Step 9000: 0.07095780223608017
Step 9300: 0.026581089943647385
Step 9600: 0.05191023275256157
Epoch 3/5
Step 300: 0.01528160274028778
Step 600: 0.044050827622413635
Step 900: 0.01953558623790741
Step 1200: 0.04193888232111931
Step 1500: 0.03926650062203407
Step 1800: 0.02327635884284973
Step 2100: 0.09485679864883423
Step 2400: 0.011376775801181793
Step 2700: 0.029060043394565582
Step 3000: 0.042401023209095
Step 3300: 0.05539524927735329
Step 3600: 0.03936214745044708
Step 3900: 0.017177097499370575
Step 4200: 0.05874413251876831
Step 4500: 0.040357548743486404
Step 4800: 0.03388247266411781
Step 5100: 0.0296296626329422
Step 5400: 0.02136455848813057
Step 5700: 0.06346438825130463
Step 6000: 0.015537165105342865
Step 6300: 0.0485139861702919
Step 6600: 0.05504621937870979
Step 6900: 0.06671244651079178
Step 7200: 0.022922784090042114
Step 7500: 0.06976017355918884
Step 7800: 0.017401430755853653
Step 8100: 0.07861598581075668
Step 8400: 0.017971660941839218
Step 8700: 0.04309891536831856
Step 9000: 0.057294879108667374
Step 9300: 0.0165860578417778
Step 9600: 0.029106535017490387
Epoch 4/5
Step 300: 0.01743241399526596
Step 600: 0.02427856996655464
Step 900: 0.015985071659088135
Step 1200: 0.016032535582780838
Step 1500: 0.0399400070309639
Step 1800: 0.04209604859352112
Step 2100: 0.02941848710179329
Step 2400: 0.07946626842021942
Step 2700: 0.10280739516019821
Step 3000: 0.02028704062104225
Step 3300: 0.15871939063072205
Step 3600: 0.015434511005878448
Step 3900: 0.059950850903987885
Step 4200: 0.038083963096141815
Step 4500: 0.13142640888690948
Step 4800: 0.01841007173061371
Step 5100: 0.0491437204182148
Step 5400: 0.05396903678774834
Step 5700: 0.016738787293434143
Step 6000: 0.016628384590148926
Step 6300: 0.04142944887280464
Step 6600: 0.02108040824532509
Step 6900: 0.024315107613801956
Step 7200: 0.009505148977041245
Step 7500: 0.015623193234205246
Step 7800: 0.018722280859947205
Step 8100: 0.046559080481529236
Step 8400: 0.08933845162391663
Step 8700: 0.010573707520961761
Step 9000: 0.017707616090774536
Step 9300: 0.06461259722709656
Step 9600: 0.017687629908323288
Epoch 5/5
Step 300: 0.04849287495017052
Step 600: 0.019986610859632492
Step 900: 0.013355091214179993
Step 1200: 0.049133315682411194
Step 1500: 0.01220361515879631
Step 1800: 0.021976683288812637
Step 2100: 0.04780377820134163
Step 2400: 0.05580800026655197
Step 2700: 0.11944754421710968
Step 3000: 0.03680163621902466
Step 3300: 0.051086634397506714
Step 3600: 0.03744535148143768
Step 3900: 0.06322285532951355
Step 4200: 0.016009345650672913
Step 4500: 0.02133019268512726
Step 4800: 0.05530497059226036
Step 5100: 0.04470440000295639
Step 5400: 0.02134217694401741
Step 5700: 0.012577187269926071
Step 6000: 0.05440674349665642
Step 6300: 0.042010653764009476
Step 6600: 0.026844754815101624
Step 6900: 0.16193385422229767
Step 7200: 0.01851506158709526
Step 7500: 0.017665553838014603
Step 7800: 0.04619387164711952
Step 8100: 0.031116940081119537
Step 8400: 0.0252997986972332
Step 8700: 0.017745260149240494
Step 9000: 0.023547865450382233
Step 9300: 0.07340700924396515
Step 9600: 0.05536433681845665
Epoch 1/5
Step 300: 0.3088523745536804
Step 600: 0.17216622829437256
Step 900: 0.1993778645992279
Step 1200: 0.1413300335407257
Step 1500: 0.12162631005048752
Step 1800: 0.13185234367847443
Step 2100: 0.12901169061660767
Step 2400: 0.18140874803066254
Step 2700: 0.12559576332569122
Step 3000: 0.08026811480522156
Step 3300: 0.1550711691379547
Step 3600: 0.07168776541948318
Step 3900: 0.08349187672138214
Step 4200: 0.05661707744002342
Step 4500: 0.07763467729091644
Step 4800: 0.1372920274734497
Epoch 2/5
Step 300: 0.1042921245098114
Step 600: 0.10780057311058044
Step 900: 0.08328083902597427
Step 1200: 0.09780141711235046
Step 1500: 0.1401599645614624
Step 1800: 0.09092899411916733
Step 2100: 0.08343334496021271
Step 2400: 0.07474300265312195
Step 2700: 0.06801645457744598
Step 3000: 0.08953478932380676
Step 3300: 0.07693596184253693
Step 3600: 0.11038850247859955
Step 3900: 0.15033592283725739
Step 4200: 0.13718312978744507
Step 4500: 0.05303094536066055
Step 4800: 0.07889749109745026
Epoch 3/5
Step 300: 0.08817391842603683
Step 600: 0.07519461214542389
Step 900: 0.07113521546125412
Step 1200: 0.07556558400392532
Step 1500: 0.07042824476957321
Step 1800: 0.03618038445711136
Step 2100: 0.10467956215143204
Step 2400: 0.036158449947834015
Step 2700: 0.05259222537279129
Step 3000: 0.08486241102218628
Step 3300: 0.07627561688423157
Step 3600: 0.03963522985577583
Step 3900: 0.11623598635196686
Step 4200: 0.09511540085077286
